
C79E  78        SEI 
C79F  D8        CLD 
C7A0  A9 10     LDA #$10
C7A2  8D 00 20  STA $2000 = 00
C7A5  A2 FF     LDX #$FF
C7A7  9A        TXS 
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
C7A8  AD 02 20  LDA $2002 = 00
C7AB  29 80     AND #$80
C7AD  F0 F9     BEQ $C7A8
